cErrLog::SetLogTraceOn
STLinkUSBDriver.dll loaded
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
No ST-LINK device detected on the USB
cErrLog::SetLogTraceOn
STLinkUSBDriver.dll loaded
ST-Link/V2 device detected
Target voltage detected: 3.200000
W at 0xe000edf0: 0xa05f0003
R at 0xe000edf0: 0x01030003
Driving NRST low
Activating vector catch system
W at 0xe000edfc: 0x00000001
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
R at 0xe000edf0: 0x00030003
